,"ABM Campaign Planner - organized at job-title level. EVERY distinct title mentioned in Economic Buyer, Champion, or Influencer/User gets its own cluster/campaign, even if it appears only once - a use case can belong to more than one title's cluster. Each cluster's whole email sequence launches as ONE campaign per region on its scheduled day, and only for regions the source data actually names for that use case (see Target Geography column) - before Rakesh's US Master Calendar resumes.",,,,,,,,,,,,,,,,
Campaign Status,Date,Day,Owner,Region,Target Geography (this send),Persona (Job Title),Priority,Stream,Product(s),Sequence Length,Use Cases Covered (Buyer / Champion / Influencer-User),Campaign Name,Audience / Target List,Status,Date Live,Date Done,Notes
Live,31-Jul-2026,Fri,ABM Team,US,USA,CHRO (Empuls),P1,ICP Persona Sequence,Empuls,12 emails,"1. Employee Recognition - Buyer: CHRO / CPO | Champion: VP HR / Head of Total Rewards | Influencer/User: HRBP, Comp & Benefits manager, people managers
2. Total Rewards Strategy - Buyer: CHRO / CPO | Champion: Head of Total Rewards / Comp & Benefits | Influencer/User: VP HR, HR Head
3. Service milestone & anniversary rewards - Buyer: CHRO / Head of Total Rewards | Champion: HR Ops lead | Influencer/User: Procurement head, HR admin / manager
4. Perks, discounts, offers - Buyer: CHRO / Head of Total Rewards | Champion: Engagement / Benefits Head | Influencer/User: HRBP, benefits manager
5. Employee Well-being - Buyer: CHRO / Head of Total Rewards | Champion: Head of Wellbeing / Benefits Head | Influencer/User: Benefits manager, comp & benefits team
6. Lifestyle spending accounts & fringe benefits - Buyer: Head of Total Rewards / CHRO | Champion: Benefits Head / Benefits Manager | Influencer/User: Comp & benefits team, Finance / payroll
7. Employee engagement, experience & culture - Buyer: CHRO / CPO | Champion: Head of Employee Experience / People & Culture | Influencer/User: HRBP, engagement managers
8. Surveys, feedback, eNPS, moodometer, conversational agent - Buyer: CHRO | Champion: People Analytics / EX lead | Influencer/User: HRBP, engagement team
9. AI people-insights & analytics - Buyer: CHRO | Champion: People Analytics lead | Influencer/User: HRBP, HR Ops
10. Social intranet & internal communications - Buyer: CPO / CHRO (or Head of Comms) | Champion: Head of Internal Communications | Influencer/User: Corporate comms manager, IT
11. Frontline / deskless workforce - Buyer: COO / Operations Head (CHRO co-sign) | Champion: VP People / People Ops | Influencer/User: HR Director, engagement lead, site/field managers
